meal_id,meal_name,cal_count
1,Strawberries & Cream Oatmeal,450
2,Sweet and Tangy Asian Inspired Meatballs,220
3,Asian Greens,100
4,Southwestern Bean Salad,160
5,Sweet Island Trail Mix,130
6,PB&J Trail Mix,120
7,Asian Crunch Trail Mix,230
8,Chocolate Peanut Butter Oatmeal,440
9,Black Bean Tacos,450
10,Creamy Dijon Salmon,290
11,Superfood Trail Mix,180
12,Chicken Caesar Meatballs,150
13,Orange Ginger Salmon,270
14,Fresh Three Bean Salad,200
15,Asian Style Green Bean Salad,100
16,Crispy Roasted Potatoes,240
17,Power Greens Stir Fry,250
18,Feta and Herb Crusted Salmon,240
19,Curried Lentil Soup,220
20,Vanilla Chai Oatmeal,370
21,Very Berry Oatmeal,350
22,Vegan Jambalaya,670
23,Fresh Noodle Bowl,450
24,Asian Mushroom Noodle Soup,360
25,Mushroom Fried Rice,270
26,Low Carb Breakfast Skillet,530
27,Ham & Egg Breakfast Cups,120
28,Hummus & Veggie Bowl,642
29,Low Carb Pancakes,450
